"Step","supervisedlargea100 - epoch","supervisedlargea100 - epoch__MIN","supervisedlargea100 - epoch__MAX"
"484","1.890625","1.890625","1.890625"
"485","1.89453125","1.89453125","1.89453125"
"486","1.8984375","1.8984375","1.8984375"
"487","1.90234375","1.90234375","1.90234375"
"488","1.90625","1.90625","1.90625"
"489","1.91015625","1.91015625","1.91015625"
"490","1.9140625","1.9140625","1.9140625"
"491","1.91796875","1.91796875","1.91796875"
"492","1.921875","1.921875","1.921875"
"493","1.92578125","1.92578125","1.92578125"
"494","1.9296875","1.9296875","1.9296875"
"495","1.93359375","1.93359375","1.93359375"
"496","1.9375","1.9375","1.9375"
"497","1.94140625","1.94140625","1.94140625"
"498","1.9453125","1.9453125","1.9453125"
"499","1.94921875","1.94921875","1.94921875"
"500","1.953125","1.953125","1.953125"
"501","1.95703125","1.95703125","1.95703125"
"502","1.9609375","1.9609375","1.9609375"
"503","1.96484375","1.96484375","1.96484375"
"504","1.96875","1.96875","1.96875"
"505","1.97265625","1.97265625","1.97265625"
"506","1.9765625","1.9765625","1.9765625"
"507","1.98046875","1.98046875","1.98046875"
"508","1.984375","1.984375","1.984375"
"509","1.98828125","1.98828125","1.98828125"
"510","1.9921875","1.9921875","1.9921875"
"511","1.99609375","1.99609375","1.99609375"
"512","2","2","2"
"513","2.00390625","2.00390625","2.00390625"
"514","2.0078125","2.0078125","2.0078125"
"515","2.01171875","2.01171875","2.01171875"
"516","2.015625","2.015625","2.015625"
"517","2.01953125","2.01953125","2.01953125"
"518","2.0234375","2.0234375","2.0234375"
"519","2.02734375","2.02734375","2.02734375"
"520","2.03125","2.03125","2.03125"
"521","2.03515625","2.03515625","2.03515625"
"522","2.0390625","2.0390625","2.0390625"
"523","2.04296875","2.04296875","2.04296875"
"524","2.046875","2.046875","2.046875"
"525","2.05078125","2.05078125","2.05078125"
"526","2.0546875","2.0546875","2.0546875"
"527","2.05859375","2.05859375","2.05859375"
"528","2.0625","2.0625","2.0625"
"529","2.06640625","2.06640625","2.06640625"
"530","2.0703125","2.0703125","2.0703125"
"531","2.07421875","2.07421875","2.07421875"
"532","2.078125","2.078125","2.078125"
"533","2.08203125","2.08203125","2.08203125"
"534","2.0859375","2.0859375","2.0859375"
"535","2.08984375","2.08984375","2.08984375"
"536","2.09375","2.09375","2.09375"
"537","2.09765625","2.09765625","2.09765625"
"538","2.1015625","2.1015625","2.1015625"
"539","2.10546875","2.10546875","2.10546875"
"540","2.109375","2.109375","2.109375"
"541","2.11328125","2.11328125","2.11328125"
"542","2.1171875","2.1171875","2.1171875"
"543","2.12109375","2.12109375","2.12109375"
"544","2.125","2.125","2.125"
"545","2.12890625","2.12890625","2.12890625"
"546","2.1328125","2.1328125","2.1328125"
"547","2.13671875","2.13671875","2.13671875"
"548","2.140625","2.140625","2.140625"
"549","2.14453125","2.14453125","2.14453125"
"550","2.1484375","2.1484375","2.1484375"
"551","2.15234375","2.15234375","2.15234375"
"552","2.15625","2.15625","2.15625"
"553","2.16015625","2.16015625","2.16015625"
"554","2.1640625","2.1640625","2.1640625"
"555","2.16796875","2.16796875","2.16796875"
"556","2.171875","2.171875","2.171875"
"557","2.17578125","2.17578125","2.17578125"
"558","2.1796875","2.1796875","2.1796875"
"559","2.18359375","2.18359375","2.18359375"
"560","2.1875","2.1875","2.1875"
"561","2.19140625","2.19140625","2.19140625"
"562","2.1953125","2.1953125","2.1953125"
"563","2.19921875","2.19921875","2.19921875"
"564","2.203125","2.203125","2.203125"
"565","2.20703125","2.20703125","2.20703125"
"566","2.2109375","2.2109375","2.2109375"
"567","2.21484375","2.21484375","2.21484375"
"568","2.21875","2.21875","2.21875"
"569","2.22265625","2.22265625","2.22265625"
"570","2.2265625","2.2265625","2.2265625"
"571","2.23046875","2.23046875","2.23046875"
"572","2.234375","2.234375","2.234375"
"573","2.23828125","2.23828125","2.23828125"
"574","2.2421875","2.2421875","2.2421875"
"575","2.24609375","2.24609375","2.24609375"
"576","2.25","2.25","2.25"
"577","2.25390625","2.25390625","2.25390625"
"578","2.2578125","2.2578125","2.2578125"
"579","2.26171875","2.26171875","2.26171875"
"580","2.265625","2.265625","2.265625"
"581","2.26953125","2.26953125","2.26953125"
"582","2.2734375","2.2734375","2.2734375"
"583","2.27734375","2.27734375","2.27734375"
"584","2.28125","2.28125","2.28125"
"585","2.28515625","2.28515625","2.28515625"
"586","2.2890625","2.2890625","2.2890625"
"587","2.29296875","2.29296875","2.29296875"
"588","2.296875","2.296875","2.296875"
"589","2.30078125","2.30078125","2.30078125"
"590","2.3046875","2.3046875","2.3046875"
"591","2.30859375","2.30859375","2.30859375"
"592","2.3125","2.3125","2.3125"
"593","2.31640625","2.31640625","2.31640625"
"594","2.3203125","2.3203125","2.3203125"
"595","2.32421875","2.32421875","2.32421875"
"596","2.328125","2.328125","2.328125"
"597","2.33203125","2.33203125","2.33203125"
"598","2.3359375","2.3359375","2.3359375"
"599","2.33984375","2.33984375","2.33984375"
"600","2.34375","2.34375","2.34375"
"601","2.34765625","2.34765625","2.34765625"
"602","2.3515625","2.3515625","2.3515625"
"603","2.35546875","2.35546875","2.35546875"
"604","2.359375","2.359375","2.359375"
"605","2.36328125","2.36328125","2.36328125"
"606","2.3671875","2.3671875","2.3671875"
"607","2.37109375","2.37109375","2.37109375"
"608","2.375","2.375","2.375"
"609","2.37890625","2.37890625","2.37890625"
"610","2.3828125","2.3828125","2.3828125"
"611","2.38671875","2.38671875","2.38671875"
"612","2.390625","2.390625","2.390625"
"613","2.39453125","2.39453125","2.39453125"
"614","2.3984375","2.3984375","2.3984375"
"615","2.40234375","2.40234375","2.40234375"
"616","2.40625","2.40625","2.40625"
"617","2.41015625","2.41015625","2.41015625"
"618","2.4140625","2.4140625","2.4140625"
"619","2.41796875","2.41796875","2.41796875"
"620","2.421875","2.421875","2.421875"
"621","2.42578125","2.42578125","2.42578125"
"622","2.4296875","2.4296875","2.4296875"
"623","2.43359375","2.43359375","2.43359375"
"624","2.4375","2.4375","2.4375"
"625","2.44140625","2.44140625","2.44140625"
"626","2.4453125","2.4453125","2.4453125"
"627","2.44921875","2.44921875","2.44921875"
"628","2.453125","2.453125","2.453125"
"629","2.45703125","2.45703125","2.45703125"
"630","2.4609375","2.4609375","2.4609375"
"631","2.46484375","2.46484375","2.46484375"
"632","2.46875","2.46875","2.46875"
"633","2.47265625","2.47265625","2.47265625"
"634","2.4765625","2.4765625","2.4765625"
"635","2.48046875","2.48046875","2.48046875"
"636","2.484375","2.484375","2.484375"
"637","2.48828125","2.48828125","2.48828125"
"638","2.4921875","2.4921875","2.4921875"
"639","2.49609375","2.49609375","2.49609375"
"640","2.5","2.5","2.5"
"641","2.50390625","2.50390625","2.50390625"
"642","2.5078125","2.5078125","2.5078125"
"643","2.51171875","2.51171875","2.51171875"
"644","2.515625","2.515625","2.515625"
"645","2.51953125","2.51953125","2.51953125"
"646","2.5234375","2.5234375","2.5234375"
